"Data","Abertura","Alto","Baixo","Fechamento*","Fechamento ajustado**","Volume"
"01 de fev. de 2019","2.702,32","2.813,49","2.681,83","2.784,49","2.784,49","70.638.770.000"
"01 de jan. de 2019","2.476,96","2.708,95","2.443,96","2.704,10","2.704,10","80.859.870.000"
"01 de dez. de 2018","2.790,50","2.800,18","2.346,58","2.506,85","2.506,85","84.162.180.000"
"01 de nov. de 2018","2.717,58","2.815,15","2.631,09","2.760,17","2.760,17","80.620.020.000"
"01 de out. de 2018","2.926,29","2.939,86","2.603,54","2.711,74","2.711,74","91.930.980.000"
"01 de set. de 2018","2.896,96","2.940,91","2.864,12","2.913,98","2.913,98","63.031.510.000"
"01 de ago. de 2018","2.821,17","2.916,50","2.796,34","2.901,52","2.901,52","69.523.070.000"
"01 de jul. de 2018","2.704,95","2.848,03","2.698,95","2.816,29","2.816,29","64.898.300.000"
"01 de jun. de 2018","2.718,70","2.791,47","2.691,99","2.718,37","2.718,37","77.891.360.000"
"01 de mai. de 2018","2.642,96","2.742,24","2.594,62","2.705,27","2.705,27","76.011.820.000"
"01 de abr. de 2018","2.633,45","2.717,49","2.553,80","2.648,05","2.648,05","70.194.700.000"
"01 de mar. de 2018","2.715,22","2.801,90","2.585,89","2.640,87","2.640,87","76.803.890.000"
"01 de fev. de 2018","2.816,45","2.835,96","2.532,69","2.713,83","2.713,83","79.933.970.000"
"01 de jan. de 2018","2.683,73","2.872,87","2.682,36","2.823,81","2.823,81","77.318.690.000"
"01 de dez. de 2017","2.645,10","2.694,97","2.605,52","2.673,61","2.673,61","65.531.700.000"
"01 de nov. de 2017","2.583,21","2.657,74","2.557,45","2.647,58","2.647,58","73.416.960.000"
"01 de out. de 2017","2.521,20","2.582,98","2.520,40","2.575,26","2.575,26","71.088.550.000"
"01 de set. de 2017","2.474,42","2.519,44","2.446,55","2.519,36","2.519,36","66.624.120.000"
"01 de ago. de 2017","2.477,10","2.490,87","2.417,35","2.471,65","2.471,65","70.784.900.000"
"01 de jul. de 2017","2.431,39","2.484,04","2.407,70","2.470,30","2.470,30","63.348.090.000"
"01 de jun. de 2017","2.415,65","2.453,82","2.405,70","2.423,41","2.423,41","81.078.810.000"
"01 de mai. de 2017","2.388,50","2.418,71","2.352,72","2.411,80","2.411,80","79.719.460.000"
"01 de abr. de 2017","2.362,34","2.398,16","2.328,95","2.384,20","2.384,20","65.369.860.000"
"01 de mar. de 2017","2.380,13","2.400,98","2.322,25","2.362,72","2.362,72","81.664.010.000"
"01 de fev. de 2017","2.285,59","2.371,54","2.271,65","2.363,64","2.363,64","69.260.940.000"
