,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2011 - Nov,15837.891,17204.130,,
2011 - Dec,15830.719,17207.483,,
2012 - Jan,15935.065,17264.533,,
2012 - Feb,16212.743,17511.979,,
2012 - Mar,16058.607,17325.048,,
2012 - Apr,16180.000,17412.990,,
2012 - May,16221.645,17473.207,,
2012 - Jun,16219.700,17447.969,,
2012 - Jul,16319.308,17517.950,,
2012 - Aug,16274.330,17414.967,,
2012 - Sep,16364.985,17476.723,,
2012 - Oct,16337.833,17408.266,,
2012 - Nov,16404.605,17484.567,,
2012 - Dec,16518.820,17577.466,,
2013 - Jan,16678.239,17719.680,,
2013 - Feb,16603.246,17601.622,,
2013 - Mar,16663.082,17666.592,,
2013 - Apr,16682.526,17699.130,,
2013 - May,16663.630,17648.561,,
2013 - Jun,16839.906,17782.016,,
2013 - Jul,16881.608,17803.636,,
2013 - Aug,16986.515,17894.740,,
2013 - Sep,16993.391,17883.673,,
2013 - Oct,17116.985,17984.950,,
2013 - Nov,17221.956,18055.065,,
2013 - Dec,17237.116,18009.082,,
2014 - Jan,17136.251,17898.228,,
2014 - Feb,17215.502,17986.927,,
2014 - Mar,17241.461,17977.444,,
2014 - Apr,17404.004,18109.013,,
2014 - May,17542.867,18200.117,,
2014 - Jun,17608.653,18249.277,,
2014 - Jul,17749.395,18363.791,,
2014 - Aug,17860.964,18466.684,,
2014 - Sep,17802.325,18391.040,,
2014 - Oct,17906.086,18495.017,,
2014 - Nov,17926.518,18509.848,,
2014 - Dec,17903.634,18495.820,,
2015 - Jan,18002.932,18652.491,,
2015 - Feb,18122.594,18729.589,,
2015 - Mar,18065.061,18618.310,,
2015 - Apr,18243.305,18784.850,,
2015 - May,18256.753,18749.038,,
2015 - Jun,18339.294,18813.252,,
2015 - Jul,18368.139,18820.556,,
2015 - Aug,18379.858,18831.583,,
2015 - Sep,18456.881,18920.513,,
2015 - Oct,18469.441,18917.462,,
2015 - Nov,18387.672,18837.501,,
2015 - Dec,18448.298,18921.945,,
2016 - Jan,18494.422,18980.254,,
2016 - Feb,18463.554,18952.740,,
2016 - Mar,18619.823,19072.428,,
2016 - Apr,18704.028,19091.522,,
2016 - May,18687.672,19042.330,,
2016 - Jun,18743.406,19054.532,,
2016 - Jul,18778.439,19098.779,,
2016 - Aug,18889.875,19204.274,,
2016 - Sep,19009.604,19290.790,,
2016 - Oct,18983.156,19218.794,,
2016 - Nov,19102.971,19329.319,,
2016 - Dec,19182.010,19364.964,,
2017 - Jan,19228.547,19356.123,,
2017 - Feb,19260.942,19374.099,,
2017 - Mar,19350.764,19464.863,,
2017 - Apr,19321.724,19395.029,,
2017 - May,19439.709,19515.504,,
2017 - Jun,19554.496,19610.360,,
2017 - Jul,19577.285,19597.735,,
2017 - Aug,19666.032,19638.308,,
2017 - Sep,19834.468,19746.228,,
2017 - Oct,19883.467,19761.493,,
2017 - Nov,20066.440,19910.894,,
2017 - Dec,20161.357,19974.590,,
2018 - Jan,20252.554,20002.665,,
2018 - Feb,20385.216,20097.403,,
2018 - Mar,20347.889,20032.120,,
2018 - Apr ,20473.813,20090.099,,
2018 - May,20617.011,20179.107,,
2018 - Jun,20651.912,20182.216,,
2018 - Jul,20750.546,20257.236,,
2018 - Aug,20807.272,20288.130,,
2018 - Sep,20838.372,20283.119,,
2018 - Oct,20893.832,20287.935,,
2018 - Nov,20912.463,20302.793,,
2018 - Dec,20947.306,20323.895,,
2019 - Jan,21088.124,20425.896,,
2019 - Feb,21090.052,20401.655,,
2019 - Mar,21134.223,20417.911,,
2019 - Apr,21291.708,20504.123,,
2019 - May,21367.257,20569.638,,
2019 - Jun,21495.360,20679.855,,
2019 - Jul,21642.948,20775.616,,
2019 - Aug,21692.839,20818.998,,
2019 - Sep,21747.059,20858.160,,
2019 - Oct,21775.478,20854.487,,
2019 - Nov,21940.119,20999.688,,
2019 - Dec,21991.573,20999.284,,
2020 - Jan,22019.271,20963.970,,
2020 - Feb,22115.543,21053.865,,
2020 - Mar,20984.725,19979.730,,
2020 - Apr,18950.119,18159.952,,
2020 - May,19816.810,18958.731,,
2020 - Jun,20972.500,19988.138,,
2020 - Jul,21402.149,20314.199,,
2020 - Aug,21629.084,20494.802,,
2020 - Sep,21911.687,20729.832,,
2020 - Oct,22045.796,20812.968,,
2020 - Nov,21900.304,20626.578,,
2020 - Dec,22127.406,20736.566,,
2021 - Jan,22538.659,21024.934,,
2021 - Feb,22337.494,20755.933,,
2021 - Mar,22924.402,21194.873,,
2021 - Apr,23135.248,21285.227,,
2021 - May,23280.938,21296.597,,
2021 - June,23460.900,21350.756,,
2021 - July,23662.422,21431.913,,
2021 - Aug,23819.804,21470.073,,
2021 - Sep,24004.693,21551.165,,
2021 - Oct,24450.291,21776.451,,
2021 - Nov,24582.165,21783.542,,
2021 - Dec,24931.353,21986.886,,
2022 - Jan,24869.341,21767.877,,
2022 - Feb,25006.609,21740.981,,
2022 - Mar,25211.399,21711.728,,
2022 - Apr,25303.072,21687.390,,
2022 - May,25544.324,21712.814,,
2022 - Jun,25785.422,21728.356,,
2022 - Jul,25755.491,21708.488,,
2022 - Aug,26130.008,21981.145,,
2022 - Sep,26098.418,21867.888,,
2022 - Oct,26287.718,21905.675,,
2022 - Nov,26464.407,22012.450,,
2022 - Dec,26473.090,22055.911,,
2023 - Jan,26741.557,22129.908,,
2023 - Feb,26825.673,22106.310,,
2023 - Mar,26873.572,22104.947,,
2023 - Apr,26935.615,22119.745,,
2023 - May,27069.265,22250.379,,
2023 - June,27184.156,22310.515,,
2023 - July,27385.699,22412.842,,
2023 - Aug,27625.401,22502.076,,
2023 - Sep,27819.284,22561.706,,
2023 - Oct,27740.325,22509.894,,
2023 - Nov,27952.750,22686.169,,
2023 - Dec,28177.919,22846.137,,
2024 - Jan,28053.034,22670.215,,
,28358.992,22829.719,,
,28390.2386,22779.599,,
,28511.47344,22837.255,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
